# Chunk-averaged data for fix zOrder and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount c_myOrder[1]
100 83 17452.999999999996
  21 20.5 282.1 0.30978
  22 21.5 184 0.305495
  23 22.5 170.8 0.303864
  24 23.5 220.3 0.302164
  25 24.5 271 0.308967
  26 25.5 182.9 0.307764
  27 26.5 170.1 0.30498
  28 27.5 226.1 0.306126
  29 28.5 269 0.30852
  30 29.5 179.6 0.305021
  31 30.5 171.9 0.308665
  32 31.5 228 0.306276
  33 32.5 268.8 0.310413
  34 33.5 176.2 0.309085
  35 34.5 172.5 0.308299
  36 35.5 234.8 0.310382
  37 36.5 258.4 0.30691
  38 37.5 179.5 0.305952
  39 38.5 173.6 0.308947
  40 39.5 243.1 0.305529
  41 40.5 239.5 0.296213
  42 41.5 184.5 0.291225
  43 42.5 186.4 0.282197
  44 43.5 229.5 0.279077
  45 44.5 220.1 0.27508
  46 45.5 199.7 0.269969
  47 46.5 213.2 0.272689
  48 47.5 209 0.272542
  49 48.5 211.7 0.271992
  50 49.5 208.9 0.268726
  51 50.5 211.8 0.272781
  52 51.5 210.7 0.271925
  53 52.5 213.4 0.272739
  54 53.5 212.6 0.274105
  55 54.5 209 0.272625
  56 55.5 208.9 0.270402
  57 56.5 208.5 0.27166
  58 57.5 209.8 0.27044
  59 58.5 208.5 0.269728
  60 59.5 210.1 0.269418
  61 60.5 214.1 0.27185
  62 61.5 211.2 0.269133
  63 62.5 210.5 0.270718
  64 63.5 212.7 0.272311
  65 64.5 210.8 0.271722
  66 65.5 206.7 0.274028
  67 66.5 216.5 0.272844
  68 67.5 205.6 0.269113
  69 68.5 209.8 0.271472
  70 69.5 212.5 0.274864
  71 70.5 206.9 0.271664
  72 71.5 213.5 0.272151
  73 72.5 215.2 0.269307
  74 73.5 210.1 0.268274
  75 74.5 206.9 0.266984
  76 75.5 210.6 0.267373
  77 76.5 214.4 0.267119
  78 77.5 219.6 0.267184
  79 78.5 219 0.272492
  80 79.5 194.2 0.280397
  81 80.5 193.6 0.284791
  82 81.5 260 0.295552
  83 82.5 47.5 0.293899
800 83 17452.999999999993
  1 0.5 205 0.297079
  2 1.5 277.9 0.302963
  3 2.5 190.2 0.300743
  4 3.5 172.1 0.304618
  5 4.5 236.2 0.305024
  6 5.5 261.7 0.307678
  7 6.5 175.1 0.306264
  8 7.5 177 0.303531
  9 8.5 255.8 0.30576
  10 9.5 241 0.306475
  11 10.5 171.2 0.306004
  12 11.5 184.6 0.307813
  13 12.5 278.2 0.310323
  14 13.5 212.9 0.308497
  15 14.5 169.3 0.310167
  16 15.5 200.2 0.308114
  17 16.5 276.4 0.312146
  18 17.5 199.1 0.305726
  19 18.5 169.6 0.30542
  20 19.5 213.4 0.302809
  21 20.5 273.6 0.307098
  22 21.5 187.7 0.304976
  23 22.5 170.7 0.307888
  24 23.5 223.1 0.306472
  25 24.5 267.7 0.309014
  26 25.5 183.5 0.303319
  27 26.5 173 0.302268
  28 27.5 225.8 0.306887
  29 28.5 268.5 0.311133
  30 29.5 177.7 0.308198
  31 30.5 171.8 0.308393
  32 31.5 233.9 0.307526
  33 32.5 260.8 0.31146
  34 33.5 178.5 0.311838
  35 34.5 172.1 0.311701
  36 35.5 234.3 0.304736
  37 36.5 253.2 0.306381
  38 37.5 184.9 0.301768
  39 38.5 174.4 0.300075
  40 39.5 234.5 0.301344
  41 40.5 245.8 0.296824
  42 41.5 186.1 0.288864
  43 42.5 188.2 0.282916
  44 43.5 228.9 0.281137
  45 44.5 216.3 0.272812
  46 45.5 201.8 0.268889
  47 46.5 212.9 0.271444
  48 47.5 209.6 0.269022
  49 48.5 207 0.27242
  50 49.5 213.6 0.270254
  51 50.5 211.5 0.268487
  52 51.5 214.7 0.271246
  53 52.5 205.8 0.272812
  54 53.5 208.4 0.2718
  55 54.5 211.5 0.270914
  56 55.5 210.6 0.271295
  57 56.5 216.1 0.274381
  58 57.5 208.9 0.269939
  59 58.5 205 0.273055
  60 59.5 216.6 0.271895
  61 60.5 212.1 0.27461
  62 61.5 210.7 0.27447
  63 62.5 207.4 0.271767
  64 63.5 211.8 0.272911
  65 64.5 210.8 0.273175
  66 65.5 211.3 0.269966
  67 66.5 208.9 0.270687
  68 67.5 211.6 0.266762
  69 68.5 213.6 0.272059
  70 69.5 206.4 0.273598
  71 70.5 214.3 0.272695
  72 71.5 207.9 0.272934
  73 72.5 211 0.270084
  74 73.5 211.3 0.272385
  75 74.5 207.5 0.269872
  76 75.5 217 0.266733
  77 76.5 207.4 0.271341
  78 77.5 222.5 0.274225
  79 78.5 220 0.277576
  80 79.5 188.2 0.281103
  81 80.5 192.8 0.28805
  82 81.5 262.3 0.298971
  83 82.5 50.3 0.293115
900 83 17453
  1 0.5 210.5 0.301035
  2 1.5 272.3 0.301445
  3 2.5 191.3 0.299098
  4 3.5 172.3 0.303678
  5 4.5 236.6 0.30599
  6 5.5 257.9 0.307842
  7 6.5 178.4 0.303707
  8 7.5 175.5 0.301853
  9 8.5 259.6 0.305423
  10 9.5 236.7 0.307721
  11 10.5 173.4 0.306243
  12 11.5 182 0.307188
  13 12.5 271.1 0.308514
  14 13.5 221.7 0.307843
  15 14.5 170 0.309725
  16 15.5 191.1 0.30564
  17 16.5 283.3 0.311989
  18 17.5 200.7 0.306414
  19 18.5 170.8 0.303058
  20 19.5 207.7 0.29945
  21 20.5 278.6 0.306112
  22 21.5 187.8 0.304333
  23 22.5 170.3 0.30815
  24 23.5 217.2 0.304073
  25 24.5 274.2 0.307503
  26 25.5 183.3 0.305402
  27 26.5 171.4 0.310688
  28 27.5 220.4 0.307562
  29 28.5 272.1 0.309218
  30 29.5 181.1 0.304426
  31 30.5 171.5 0.309125
  32 31.5 227.2 0.308945
  33 32.5 267.2 0.310386
  34 33.5 179.1 0.30916
  35 34.5 171.1 0.307259
  36 35.5 234.1 0.308564
  37 36.5 255.7 0.304505
  38 37.5 183.9 0.300841
  39 38.5 175.8 0.301472
  40 39.5 235.1 0.301505
  41 40.5 248.3 0.298409
  42 41.5 184 0.290714
  43 42.5 185.3 0.287411
  44 43.5 227.7 0.279529
  45 44.5 219.2 0.272784
  46 45.5 206 0.27263
  47 46.5 207.3 0.273892
  48 47.5 209.2 0.27168
  49 48.5 208.3 0.27264
  50 49.5 213.4 0.275927
  51 50.5 213.6 0.271214
  52 51.5 210.9 0.269181
  53 52.5 209.3 0.271048
  54 53.5 205.7 0.269771
  55 54.5 207.7 0.273052
  56 55.5 211.6 0.271966
  57 56.5 217.6 0.27131
  58 57.5 206.6 0.270366
  59 58.5 211.3 0.273076
  60 59.5 215.5 0.270646
  61 60.5 214 0.26982
  62 61.5 215.9 0.271231
  63 62.5 199.4 0.267461
  64 63.5 210.1 0.27218
  65 64.5 216.3 0.271506
  66 65.5 214.6 0.268489
  67 66.5 206.5 0.270286
  68 67.5 208.2 0.272078
  69 68.5 209 0.271586
  70 69.5 210.4 0.274974
  71 70.5 210.4 0.268344
  72 71.5 210.9 0.267608
  73 72.5 214.6 0.270362
  74 73.5 207.2 0.272879
  75 74.5 214 0.269914
  76 75.5 211.1 0.268121
  77 76.5 205.1 0.269105
  78 77.5 227 0.272686
  79 78.5 222.9 0.280084
  80 79.5 182.1 0.283926
  81 80.5 196.5 0.294636
  82 81.5 265.2 0.299458
  83 82.5 43.1 0.298831
1000 83 17453.000000000004
  1 0.5 213.6 0.300809
  2 1.5 269.2 0.303679
  3 2.5 189.6 0.29926
  4 3.5 171.7 0.299005
  5 4.5 229.9 0.304382
  6 5.5 261.1 0.305467
  7 6.5 182.3 0.30298
  8 7.5 173.5 0.303691
  9 8.5 246.7 0.305589
  10 9.5 247.4 0.307566
  11 10.5 177.4 0.305555
  12 11.5 180 0.307403
  13 12.5 264.1 0.308057
  14 13.5 229 0.305101
  15 14.5 171.9 0.302653
  16 15.5 185.2 0.302466
  17 16.5 277.3 0.305972
  18 17.5 213.2 0.302824
  19 18.5 169.9 0.303183
  20 19.5 193.2 0.3021
  21 20.5 276.4 0.307569
  22 21.5 204.2 0.302185
  23 22.5 169.7 0.304838
  24 23.5 204.9 0.305991
  25 24.5 276.6 0.307528
  26 25.5 194.1 0.304941
  27 26.5 170.7 0.309022
  28 27.5 218.4 0.306072
  29 28.5 265.6 0.310206
  30 29.5 190.5 0.30526
  31 30.5 171.2 0.30637
  32 31.5 220 0.305722
  33 32.5 276.5 0.308517
  34 33.5 177.2 0.306647
  35 34.5 171.8 0.306425
  36 35.5 235.3 0.304455
  37 36.5 256.9 0.307261
  38 37.5 181.1 0.30392
  39 38.5 176.9 0.303303
  40 39.5 238.6 0.300857
  41 40.5 247.6 0.298047
  42 41.5 179.7 0.286784
  43 42.5 188.8 0.285472
  44 43.5 229.7 0.281778
  45 44.5 216.7 0.276782
  46 45.5 206.4 0.273747
  47 46.5 209.4 0.273752
  48 47.5 209 0.270299
  49 48.5 205.3 0.266644
  50 49.5 211.4 0.270381
  51 50.5 211.5 0.270834
  52 51.5 211.5 0.271005
  53 52.5 212.7 0.270605
  54 53.5 208.7 0.270494
  55 54.5 205.7 0.271981
  56 55.5 212.2 0.269453
  57 56.5 211.4 0.27206
  58 57.5 212.9 0.267139
  59 58.5 209.7 0.27043
  60 59.5 215.2 0.273654
  61 60.5 211.3 0.27311
  62 61.5 212.5 0.267184
  63 62.5 208.1 0.270478
  64 63.5 211.9 0.271368
  65 64.5 212.3 0.27415
  66 65.5 212.3 0.273405
  67 66.5 209.9 0.26877
  68 67.5 206.8 0.272301
  69 68.5 213.5 0.269425
  70 69.5 215.1 0.268134
  71 70.5 205.3 0.271829
  72 71.5 211.8 0.268083
  73 72.5 213.1 0.267628
  74 73.5 206.1 0.271718
  75 74.5 212.9 0.269262
  76 75.5 212.1 0.269251
  77 76.5 201.7 0.268672
  78 77.5 233.4 0.272889
  79 78.5 218.4 0.281898
  80 79.5 178.7 0.287107
  81 80.5 200.2 0.292897
  82 81.5 265.5 0.299867
  83 82.5 41.8 0.293167
1100 83 17453.000000000007
  1 0.5 211.2 0.296813
  2 1.5 273.2 0.303944
  3 2.5 188.7 0.297753
  4 3.5 170.5 0.302615
  5 4.5 221.6 0.301052
  6 5.5 271.7 0.305282
  7 6.5 181.4 0.305997
  8 7.5 171 0.308539
  9 8.5 242.5 0.305713
  10 9.5 251.9 0.305617
  11 10.5 179.3 0.304393
  12 11.5 175.7 0.30304
  13 12.5 249.3 0.305145
  14 13.5 245.7 0.30477
  15 14.5 174.6 0.304638
  16 15.5 175.9 0.30481
  17 16.5 259.8 0.307397
  18 17.5 238.8 0.305329
  19 18.5 170.9 0.306896
  20 19.5 186 0.303281
  21 20.5 273 0.307885
  22 21.5 215.1 0.305121
  23 22.5 170.7 0.300077
  24 23.5 193.5 0.305078
  25 24.5 267.6 0.305386
  26 25.5 213 0.305001
  27 26.5 171.1 0.306368
  28 27.5 208.5 0.30504
  29 28.5 267.6 0.307394
