# Chunk-averaged data for fix zOrder and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount c_myOrder[1]
100 83 17453
  54 53.5 211 0.270303
  55 54.5 209.6 0.269463
  56 55.5 211.5 0.273522
  57 56.5 213.1 0.27144
  58 57.5 202.7 0.271248
  59 58.5 209 0.268821
  60 59.5 207.8 0.271389
  61 60.5 212.8 0.270427
  62 61.5 217.3 0.272251
  63 62.5 212.3 0.271892
  64 63.5 198.9 0.269958
  65 64.5 210.6 0.269315
  66 65.5 213.4 0.270166
  67 66.5 210.9 0.268611
  68 67.5 211.3 0.268088
  69 68.5 206.7 0.272395
  70 69.5 212.6 0.267973
  71 70.5 210.5 0.267195
  72 71.5 212.7 0.267125
  73 72.5 210 0.270276
  74 73.5 210 0.267917
  75 74.5 204.6 0.271715
  76 75.5 211.2 0.267709
  77 76.5 204.8 0.269599
  78 77.5 216.8 0.271345
  79 78.5 228.7 0.279155
  80 79.5 187.1 0.282015
  81 80.5 189.7 0.289765
  82 81.5 256 0.299785
  83 82.5 56.3 0.292977
700 83 17452.999999999993
  1 0.5 200.5 0.29977
  2 1.5 270.4 0.306139
  3 2.5 203.6 0.302762
  4 3.5 170.6 0.303312
  5 4.5 204.2 0.303198
  6 5.5 269.6 0.307445
  7 6.5 200.3 0.305127
  8 7.5 171.2 0.31099
  9 8.5 216.9 0.311888
  10 9.5 272.2 0.311792
  11 10.5 185.2 0.30707
  12 11.5 172.3 0.308213
  13 12.5 230.9 0.308885
  14 13.5 262.4 0.30969
  15 14.5 179.4 0.306938
  16 15.5 172.6 0.309416
  17 16.5 236.3 0.308304
  18 17.5 258.3 0.310095
  19 18.5 177.8 0.311095
  20 19.5 175.7 0.309174
  21 20.5 247.6 0.310734
  22 21.5 248.8 0.309425
  23 22.5 173 0.306144
  24 23.5 179.1 0.304918
  25 24.5 268.3 0.310078
  26 25.5 227.5 0.306114
  27 26.5 170 0.3039
  28 27.5 189.7 0.305669
  29 28.5 279.5 0.310535
  30 29.5 205.9 0.306199
  31 30.5 170.7 0.307598
  32 31.5 209.7 0.308725
  33 32.5 271.4 0.308916
  34 33.5 193.9 0.304275
  35 34.5 170.9 0.306808
  36 35.5 236.9 0.30777
  37 36.5 261.8 0.307739
  38 37.5 175.6 0.302501
  39 38.5 178.3 0.302988
  40 39.5 254.6 0.295926
  41 40.5 225.4 0.28619
  42 41.5 188.8 0.279216
  43 42.5 209.9 0.275904
  44 43.5 221.6 0.275283
  45 44.5 209.6 0.268581
  46 45.5 208.5 0.270208
  47 46.5 209.6 0.269405
  48 47.5 214.5 0.270454
  49 48.5 210.8 0.270804
  50 49.5 215.9 0.271086
  51 50.5 213 0.271093
  52 51.5 208.2 0.26702
  53 52.5 212.4 0.266771
  54 53.5 208.8 0.268012
  55 54.5 204.1 0.271665
  56 55.5 209.4 0.272536
  57 56.5 216.5 0.275473
  58 57.5 199.8 0.269707
  59 58.5 214.2 0.270398
  60 59.5 211.8 0.271274
  61 60.5 208.3 0.269586
  62 61.5 216.2 0.27229
  63 62.5 208.1 0.27581
  64 63.5 202.8 0.269956
  65 64.5 209.1 0.272012
  66 65.5 210.3 0.274489
  67 66.5 214.8 0.270847
  68 67.5 209.8 0.269808
  69 68.5 205.7 0.271589
  70 69.5 210.2 0.272346
  71 70.5 212.3 0.271739
  72 71.5 210.2 0.26988
  73 72.5 211.8 0.272934
  74 73.5 209 0.271654
  75 74.5 208.3 0.27293
  76 75.5 204.5 0.269301
  77 76.5 206.6 0.270488
  78 77.5 221 0.270736
  79 78.5 226.6 0.280561
  80 79.5 187.7 0.282371
  81 80.5 190.1 0.288295
  82 81.5 256.2 0.295968
  83 82.5 57 0.294237
800 83 17453.000000000004
  1 0.5 193.3 0.298424
  2 1.5 277.6 0.305197
  3 2.5 202.9 0.29796
  4 3.5 170.5 0.303087
  5 4.5 205.3 0.300937
  6 5.5 276.4 0.307628
  7 6.5 193.8 0.307473
  8 7.5 169.9 0.309714
  9 8.5 217.4 0.306802
  10 9.5 269.9 0.310408
  11 10.5 187.6 0.308369
  12 11.5 172 0.308574
  13 12.5 224.1 0.306717
  14 13.5 270.4 0.312806
  15 14.5 179 0.307683
  16 15.5 172.6 0.306048
  17 16.5 241.3 0.309255
  18 17.5 253.3 0.309189
  19 18.5 177.6 0.30573
  20 19.5 175.8 0.308233
  21 20.5 255.5 0.308304
  22 21.5 241.7 0.307292
  23 22.5 172 0.30693
  24 23.5 178.6 0.308244
  25 24.5 263.7 0.304703
  26 25.5 232.5 0.305295
  27 26.5 170.3 0.305836
  28 27.5 187.2 0.303104
  29 28.5 264.9 0.307293
  30 29.5 221.6 0.305304
  31 30.5 171.9 0.306404
  32 31.5 206.2 0.306255
  33 32.5 269.9 0.309341
  34 33.5 199 0.30503
  35 34.5 172.1 0.308219
  36 35.5 229 0.308744
  37 36.5 264.9 0.307093
  38 37.5 179.2 0.305298
  39 38.5 176.6 0.303658
  40 39.5 253.4 0.299244
  41 40.5 231.9 0.291187
  42 41.5 184.7 0.279064
  43 42.5 206.2 0.276181
  44 43.5 226.5 0.271288
  45 44.5 212.6 0.26748
  46 45.5 214.9 0.271159
  47 46.5 205.5 0.271003
  48 47.5 206.3 0.270014
  49 48.5 213.1 0.269475
  50 49.5 216.2 0.272849
  51 50.5 210.4 0.268202
  52 51.5 210.3 0.269617
